byte_pos,top_candidates
0,"d0,a9,cc"
1,14
2,"f9,31,cd"
3,"a8,88,4c"
4,"c9,7a,4d"
5,"ee,84,af"
6,"25,fc,b8"
7,"89,02"
8,"e1,da"
9,"3f,0d"
10,"0c,46,4a"
11,"c8,fa,59"
12,"b6,b5,29"
13,"63,0a,27"
14,"0c,3a,57"
15,"a6,c6,b7"
