byte_pos,top_candidates
0,"d0,f9,2d"
1,"14,13,e3"
2,"f9,6c,01"
3,"a8,ed,f3"
4,"c9,82,0c"
5,"ee,ad,86"
6,"25,1f,99"
7,"89,4f,35"
8,"e1,77,d7"
9,"3f,8f,97"
10,"0c,b2,21"
11,"c8,eb,98"
12,"b6,7d,bb"
13,"63,aa,04"
14,"0c,da,5e"
15,"a6,c6,0f"
