model,display_name,sample_size,repeat_id,correct_bytes,recovery_rate,round10_key,recovered_master,master_ok
B,模型B,160,2,15,93.75,d014f9a8aeee2589e13f0cc8b6630ca6,2b01b2fa4fe9d677abcf15596ecf4fed,False
B,模型B,160,3,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,4,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,5,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,6,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,7,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,8,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,160,9,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,0,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,1,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,2,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,3,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,4,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,5,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,6,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,7,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,8,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,240,9,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,0,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,1,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,2,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,3,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,4,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,5,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,6,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,7,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,8,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
B,模型B,320,9,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
C,模型C,20,0,0,0.0,35a76dd90989ed2bcf552ea94fc4e46a,15b889bbcc857280fb212697d9dc9f8b,False
C,模型C,20,1,5,31.25,81140aa8c917265bb53fadc8e73efe6a,8a2ce9f513a729d13ab721f0a3041578,False
C,模型C,20,2,2,12.5,614019a8b824257b2a0ea7f327b02305,c72d16945b758a023b4c989ad62fe185,False
C,模型C,20,3,6,37.5,a8e7f9a669ee25890e744cc814390cc4,75965a5c20d6364d48ab53ae5370362f,False
C,模型C,20,4,4,25.0,0f1453bec9a32f0e96977ec86d7e0c16,6d2b9d81b32d5150d9136c6af221dfb5,False
C,模型C,20,5,2,12.5,f537419211bbb2f0d63f561ab6d7f4d2,5398e478b5ebb18c5d00aa072d4a81fc,False
C,模型C,20,6,1,6.25,a8d579614cbbc78927e3c642f465ab1a,71b6ae4670e05fc0f23325cbcb96346c,False
C,模型C,20,7,3,18.75,6d147f6dc927e47ac17d12e182a80c6a,c67044f1b9ff27190b747851b050a008,False
C,模型C,20,8,4,25.0,6df6f9a109ee67f4e189530b34a132a6,4e2aa7f48c541f7509993622e1c04087,False
C,模型C,20,9,4,25.0,db143bcec95927085ca6e0c8d6700ccb,c329e34e3efd7c837a3f2e121c9a9ebd,False
C,模型C,40,0,7,43.75,6d14193dc9a02536963febc8b6750ce9,b6703cc2615abf8ee06f90238380d86b,False
C,模型C,40,1,8,50.0,d01439a9c9e02789ab090cc882630cac,123c479631612ae0e0a8b2456a31575c,False
C,模型C,40,2,8,50.0,6c149b78c9ee2559e13fb658ea630cbf,44ca6d3f1f1d3a357f89ff726e882c31,False
C,模型C,40,3,7,43.75,7e14f0a8c98b255d8d7da9c88e080ca6,c109751752f7aa0a2c816f804d1a74b9,False
C,模型C,40,4,1,6.25,8aa23b11a4d06af0da550ca9e655fecb,5b33d8b5838d671b1d0682378a7550ba,False
C,模型C,40,5,6,37.5,d0cb20caa34c6989d33f0c66b663fe7e,3a485adb85d46f03f43fea9b2179bb8e,False
C,模型C,40,6,5,31.25,d03ef972e8eef4f022ee0c057f633afc,d32889d364d4b11303ddffbe08e9e306,False
C,模型C,40,7,9,56.25,d06e54a85dee2578e13f0cacb6634cdc,8f2be5a3c02479bebac88caf59bdc1b5,False
C,模型C,40,8,6,37.5,d0f839a8c9c79689ab3f5e53b608fefc,64cf609541de105156578eef07f40019,False
C,模型C,40,9,12,75.0,d0cbf9a8c9ee2589e13f7669b6630c0e,fd5acbd915eb15a09783047f5c1750c2,False
C,模型C,80,0,12,75.0,d014f9d9c9ee3f89e1770cc85d630ca6,99a62322131c6fc25e6449da17a2896d,False
C,模型C,80,1,7,43.75,d0149b90c9a7259efe3f10c882fa0ccb,1c0c74ca4eac08db122b1c0317c8e25f,False
C,模型C,80,2,6,37.5,8f140672c951eebee13fadc85f3e0cfe,7858abefcf704bfba26bc8416bf6c55b,False
C,模型C,80,3,11,68.75,d02c19a8c9ee2589733f0cc8b663b2c3,ad2a39692fbab5fe4cf54255ad142a31,False
C,模型C,80,4,6,37.5,d014f0ddc91792895597acc827930cd6,d9308546e71b2a000574ffe71ca17169,False
C,模型C,80,5,8,50.0,6114f2a8c951253d223f56c8b67e0cba,8d333a709eea3a8c39d11f92dd6d63d8,False
C,模型C,80,6,15,93.75,d014f9a8c9ee25f0e13f0cc8b6630ca6,9c11ae16bcc29ddf88f75a8809cf0045,False
C,模型C,80,7,8,50.0,6d1439a8c906255b933f56c8b63e0c6d,1e2e266d17e9aa68945a5908183816c4,False
C,模型C,80,8,8,50.0,051491a8c9a725762b3fa9c8b65f0c50,f82377d5f857ffbfef557843fa8e2aa0,False
C,模型C,80,9,8,50.0,d0144f5fc917398983bc0cc819630cc6,bb5f64ec429d0ea5787b60ff13db9e43,False
C,模型C,120,0,15,93.75,d014f9a8c9082589e13f0cc8b6630ca6,717ea5c70148023a82f7758820294f3c,False
C,模型C,120,1,13,81.25,d014f9a8c9ee2589e13f0cc827b70c6a,6647e429c1d9aaacb182272bd3a70873,False
C,模型C,120,2,15,93.75,d014f9a8c9ac2589e13f0cc8b6630ca6,ab7ee656b8ecc8203bf7fc88998d4f3c,False
C,模型C,120,3,14,87.5,d014f94ac9ee8b89e13f0cc8b6630ca6,de2dd330415bba26ab02d32e093a273c,False
C,模型C,120,4,13,81.25,d0147aa8c9ee2589733f0cc8b6630cc6,0bdb455146a5695bca36ee0bfe3105df,False
C,模型C,120,5,16,100.0,d014f9a8c9ee2589e13f0cc8b6630ca6,2b7e151628aed2a6abf7158809cf4f3c,True
C,模型C,120,6,15,93.75,d01406a8c9ee2589e13f0cc8b6630ca6,b0efea08283fd2b8ab66ea88095e4f3c,False
C,模型C,120,7,12,75.0,d014f972c9ed8b89e1540cc8b6630ca6,90273727ef58f0b617696d56b539373c,False
