byte_pos,top_candidates
0,"d0,f5,59"
1,"14,0f,a3"
2,"f9,9c,77"
3,"a8,fa,c2"
4,"c9,60,ae"
5,"ee,a9,e4"
6,"25,4d,b7"
7,"89,6b,1b"
8,"e1,f2,38"
9,"3f,65,83"
10,"0c,c9,6e"
11,"c8,6b,e9"
12,"b6,ff,68"
13,"63,b7,0e"
14,"0c,7d,fb"
15,"a6,29,10"
